run_at,model,postprocess,mean_mae,std_mae,submission_path,exp_id,feature_version,pred_std_oof,pred_min_oof,pred_max_oof,notes
,extratrees_v4_mf08_n1000,clip_0_1_round2,0.18601,0.0037764548337178,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1621619112205631,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf06_n1000,clip_0_1,0.1860238399999998,0.0036306499842505,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1596140280650334,0.0001799999999999,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf08_n1000,clip_0_1,0.1860839833333332,0.003815480710667,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1619074637990205,0.0007199999999999,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf08_n1500,clip_0_1,0.1860914888888887,0.0038045366035534,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.161850242523513,0.0005866666666666,0.9999733333333334,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf09_n1000,clip_0_1_round2,0.1862166666666666,0.0036523964735499,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1639748872679945,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf09_n1500,clip_0_1_round2,0.1863199999999999,0.0036691355324593,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1638780220904062,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf09_n1000,clip_0_1,0.1864005699999999,0.0036862248720443,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1637431161913006,0.00026,0.99969,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf09_n1500,clip_0_1,0.1864398644444443,0.003614870900239,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1636791447513117,0.00044,0.9997933333333334,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf10_n1500,clip_0_1_round2,0.1868033333333333,0.0034601380833075,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1667336447834317,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf10_n1000,clip_0_1_round2,0.1868933333333333,0.0033186049612584,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.16678246386328,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf10_n1500,clip_0_1,0.1869184177777775,0.0032820987734119,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1666014053821689,0.0004733333333333,0.9999533333333334,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf10_n1000,clip_0_1,0.1870139233333332,0.0033333311012826,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1665906498494548,0.0,0.99998,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf07_n1000,clip_0_1_round2,0.1856633333333333,0.0036764906273963,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1608838127357755,0.0,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_ensemble_extratrees_v4_mf07_n1000,clip_0_1_round2,0.1857633333333333,0.0036177494538885,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1605948257413892,0.0,1.0,"Multi-seed ensemble [42, 2024, 777, 1004, 2026]; target encoding"
,extratrees_v4_mf07_n1000,clip_0_1,0.1858058133333333,0.00362919005131,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1606339729738324,0.00024,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_ensemble_extratrees_v4_mf07_n1000,clip_0_1,0.1858164293333332,0.003623587803211,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1603877437421471,0.000514,0.999778,"Multi-seed ensemble [42, 2024, 777, 1004, 2026]; target encoding"
,extratrees_v4_mf06_n1000,clip_0_1_round2,0.1859266666666666,0.0037283188049187,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1597172323141726,0.0,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf08_n1000,clip_0_1_round2,0.18601,0.0037764548337178,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1621619112205631,0.0,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf06_n1000,clip_0_1,0.1860238399999998,0.0036306499842505,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1596140280650334,0.0001799999999999,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf08_n1000,clip_0_1,0.1860839833333332,0.003815480710667,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1619074637990205,0.0007199999999999,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf09_n1000,clip_0_1_round2,0.1862166666666666,0.0036523964735499,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1639748872679945,0.0,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf09_n1000,clip_0_1,0.1864005699999999,0.0036862248720443,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1637431161913006,0.00026,0.99969,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf10_n1000,clip_0_1_round2,0.1868933333333333,0.0033186049612584,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.16678246386328,0.0,1.0,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v4_mf10_n1000,clip_0_1,0.1870139233333332,0.0033333311012826,,v4_20260617_020015,v4_leaf1_target_encoding_ensemble,0.1665906498494548,0.0,0.99998,ExtraTrees leaf1 max_features tuning at n_estimators=1000; target encoding
,extratrees_v45_v3_exact_5seed,clip_0_1_round2,0.1800566666666666,0.0061519825169524,,v45_20260617_022101,v45_v3_exact_multiseed,0.1761444069684236,0.0,1.0,"V3 exact feature pipeline; ExtraTrees seeds averaged [42, 2024, 777, 1004, 2026]; no target encoding"
,extratrees_v45_v3_exact_5seed,clip_0_1,0.1801610913333332,0.0060978233765776,,v45_20260617_022101,v45_v3_exact_multiseed,0.1759651413922659,0.000702,0.999868,"V3 exact feature pipeline; ExtraTrees seeds averaged [42, 2024, 777, 1004, 2026]; no target encoding"
,svr_rbf,clip_0_1_round2,0.1376066666666666,0.0074310958266722,,v5_20260617_030349,D_kernel_latent_score,0.1925707149596913,0.0,1.0,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=quantile_target
,svr_rbf,raw,0.1376224970296926,0.0074155914555071,,v5_20260617_030349,D_kernel_latent_score,0.192542160396264,0.0,1.0,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=quantile_target
,svr_rbf,clip_0_1,0.1376224970296926,0.0074155914555071,,v5_20260617_030349,D_kernel_latent_score,0.192542160396264,0.0,1.0,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=quantile_target
,svr_rbf,clip_0_1_round2,0.1383466666666666,0.0071019246217721,,v5_20260617_030349,D_kernel_latent_score,0.1944044553606939,0.0,1.0,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=quantile_target
,svr_rbf,clip_0_1,0.1383557506008743,0.0070834789350745,,v5_20260617_030349,D_kernel_latent_score,0.1943901260879404,0.0,1.0,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=quantile_target
,svr_rbf,raw,0.1383557506008743,0.0070834789350745,,v5_20260617_030349,D_kernel_latent_score,0.1943901260879404,0.0,1.0,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=quantile_target
,svr_rbf,clip_0_1_round2,0.1394133333333333,0.0076899035939308,,v5_20260617_030349,D_kernel_latent_score,0.1880266332034378,0.0,1.0,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=raw
,svr_rbf,clip_0_1_round2,0.1396533333333333,0.0074331788723363,,v5_20260617_030349,D_kernel_latent_score,0.189284524751594,0.0,1.0,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=raw
,svr_rbf,clip_0_1,0.1396565852397391,0.0076101499363973,,v5_20260617_030349,D_kernel_latent_score,0.1878003922193722,6.651403129942501e-05,1.0,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=raw
,svr_rbf,raw,0.1396568394090936,0.0076098438219449,,v5_20260617_030349,D_kernel_latent_score,0.1878011011776307,6.651403129942501e-05,1.000363907364043,kfold; scaled; dense; feature_set=S2_core_derived; target_mode=raw
,svr_rbf,clip_0_1,0.1399291609515593,0.0074220262712596,,v5_20260617_030349,D_kernel_latent_score,0.1890880814729472,0.0,1.0,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=raw
,svr_rbf,raw,0.1399292954501145,0.0074220502831786,,v5_20260617_030349,D_kernel_latent_score,0.1890884276692512,-0.0003178058264746,1.000062912460654,kfold; scaled; dense; feature_set=S1_simple_score_encoding; target_mode=raw
,extratrees_v3_setting,clip_0_1_round2,0.1565666666666667,0.0071199771119066,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1755389919688957,0.01,1.0,kfold; unscaled; sparse-ok; feature_set=S2_core_derived; target_mode=raw
,extratrees_v3_setting,raw,0.1566631199999999,0.0071037303966087,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1754299752938473,0.00757,0.99996,kfold; unscaled; sparse-ok; feature_set=S2_core_derived; target_mode=raw
,extratrees_v3_setting,clip_0_1,0.1566631199999999,0.0071037303966087,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1754299752938473,0.00757,0.99996,kfold; unscaled; sparse-ok; feature_set=S2_core_derived; target_mode=raw
,extratrees_v3_setting,clip_0_1_round2,0.15684,0.0065623279518893,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1764220980647318,0.0,1.0,kfold; unscaled; sparse-ok; feature_set=S1_simple_score_encoding; target_mode=raw
,extratrees_v3_setting,raw,0.1569982999999998,0.0066041437292837,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1763450453563257,0.00414,1.0,kfold; unscaled; sparse-ok; feature_set=S1_simple_score_encoding; target_mode=raw
,extratrees_v3_setting,clip_0_1,0.1569982999999998,0.0066041437292837,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1763450453563257,0.00414,1.0,kfold; unscaled; sparse-ok; feature_set=S1_simple_score_encoding; target_mode=raw
,extratrees_v3_setting,clip_0_1_round2,0.1740933333333333,0.0090584494353525,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1678613036447332,0.0,1.0,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=y100
,extratrees_v3_setting,raw,0.1741780666666666,0.0090266207657211,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1677365346034862,0.00435,0.99889,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=y100
,extratrees_v3_setting,clip_0_1,0.1741780666666666,0.0090266207657211,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1677365346034862,0.00435,0.99889,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=y100
,extratrees_v3_setting,clip_0_1_round2,0.1744133333333333,0.0092186633025845,,v5_20260617_030349,B_binned_or_tree_scorecard,0.167844754819963,0.0,1.0,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=raw
,extratrees_v3_setting,raw,0.1745393933333333,0.0091952690572656,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1677463774596126,0.00294,0.99916,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=raw
,extratrees_v3_setting,clip_0_1,0.1745393933333333,0.0091952690572656,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1677463774596126,0.00294,0.99916,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=raw
,svr_rbf,clip_0_1_round2,0.1872333333333333,0.0064925788595067,,v5_20260617_030349,D_kernel_latent_score,0.1357222070801991,0.0,1.0,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=quantile_target
,svr_rbf,clip_0_1,0.1872407317619024,0.006484213731827,,v5_20260617_030349,D_kernel_latent_score,0.1357028868608782,0.0,1.0,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=quantile_target
,svr_rbf,raw,0.1872407317619024,0.006484213731827,,v5_20260617_030349,D_kernel_latent_score,0.1357028868608782,0.0,1.0,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=quantile_target
,svr_rbf,clip_0_1_round2,0.1894666666666666,0.0064271031048978,,v5_20260617_030349,D_kernel_latent_score,0.1336324777628465,0.0,1.0,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=raw
,svr_rbf,clip_0_1,0.1895763919075598,0.0065859360055503,,v5_20260617_030349,D_kernel_latent_score,0.1333281865295344,0.0,1.0,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=raw
,svr_rbf,raw,0.1895765862017315,0.0065858347111799,,v5_20260617_030349,D_kernel_latent_score,0.1333289163281895,-0.0002154702774708,1.0002995013613252,kfold; scaled; dense; feature_set=S3_mean_working_score; target_mode=raw
,randomforest,clip_0_1_round2,0.19261,0.0070915712445162,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1213189161939534,0.15,0.86,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=raw
,randomforest,clip_0_1,0.1926366233333332,0.0071450820620614,,v5_20260617_030349,B_binned_or_tree_scorecard,0.1212158550566546,0.1521000000000005,0.8561200000000053,kfold; unscaled; sparse-ok; feature_set=S3_mean_working_score; target_mode=raw
