exp_id,group_col,fold,group_value,fit_offset100
v81_20260618_103517,edu_level,5,high school diploma,0.5755395683453237
v81_20260618_103517,edu_level,6,bachelors degree,-0.43711083437110837
v81_20260618_103517,edu_level,6,graduate degree,0.729831144465291
v81_20260618_103517,edu_level,6,high school diploma,0.1700844390832328
v81_20260618_103517,edu_level,7,bachelors degree,-0.6963151207115629
v81_20260618_103517,edu_level,7,graduate degree,0.7350746268656717
v81_20260618_103517,edu_level,7,high school diploma,0.8313106796116505
v81_20260618_103517,edu_level,8,bachelors degree,-0.5257861635220126
v81_20260618_103517,edu_level,8,graduate degree,1.2952380952380953
v81_20260618_103517,edu_level,8,high school diploma,0.2061978545887962
v81_20260618_103517,edu_level,9,bachelors degree,-0.4589127686472819
v81_20260618_103517,edu_level,9,graduate degree,1.168241965973535
v81_20260618_103517,edu_level,9,high school diploma,0.8291215403128761
v81_20260618_103517,edu_level,10,bachelors degree,-0.6670918367346939
v81_20260618_103517,edu_level,10,graduate degree,0.42669172932330834
v81_20260618_103517,edu_level,10,high school diploma,0.14642857142857144
