exp_id,hypothesis_group,feature_set,model,target_mode,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,svr_rbf,y100,clip_0_1_round2,0.24026666666666668,0.0057085813679554264,0.4796700000000001,0.018479852136267925,0.43,0.53,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,svr_rbf,y100,clip_0_1,0.24030454682026448,0.005497179267230846,0.47965725242758706,0.018363599796249117,0.4273565624668253,0.5272512645334122,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,svr_rbf,y100,raw,0.24030454682026448,0.005497179267230846,0.47965725242758706,0.018363599796249117,0.4273565624668253,0.5272512645334122,kfold; scaled; dense
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,elasticnet,raw,clip_0_1_round2,0.24453333333333335,0.008424918946747158,0.48217,0.06156666780703354,0.25,0.77,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,elasticnet,raw,raw,0.24462156686060071,0.008390287518444608,0.48218563533943015,0.061546675074458004,0.2505662312667488,0.7658632386974649,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,elasticnet,raw,clip_0_1,0.24462156686060071,0.008390287518444608,0.48218563533943015,0.061546675074458004,0.2505662312667488,0.7658632386974649,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,raw,clip_0_1_round2,0.24467666666666665,0.008334785799346468,0.4821666666666667,0.05966091990583305,0.26,0.76,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,raw,raw,0.24474278481392528,0.008322425885104151,0.4821610631956963,0.05960679132808521,0.26181941123416747,0.7621669239898231,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,raw,clip_0_1,0.24474278481392528,0.008322425885104151,0.4821610631956963,0.05960679132808521,0.26181941123416747,0.7621669239898231,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,quantile_target,raw,0.24545398539045796,0.008887358240379686,0.4747202565417104,0.08365556687862968,0.2,0.8276313408339455,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,quantile_target,clip_0_1,0.24545398539045796,0.008887358240379686,0.4747202565417104,0.08365556687862968,0.2,0.8276313408339455,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,ridge,quantile_target,clip_0_1_round2,0.24548333333333336,0.008856764869331095,0.47472,0.08368625572019271,0.2,0.83,kfold; scaled; sparse-ok
